Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
JS6277_extract_flagstat	73906779	73906779	100.0
JS6278_extract_flagstat	45683133	45683133	100.0
JS6279_extract_flagstat	73484655	73484655	100.0
JS6280_extract_flagstat	66361805	66361805	100.0
JS6281_extract_flagstat	71065608	71065608	100.0
JS6342_extract_flagstat	69673259	69673259	100.0
JS6343_extract_flagstat	123842120	123842120	100.0
JS6344_extract_flagstat	98030527	98030527	100.0
JS6345_extract_flagstat	87526167	87526167	100.0
JS6346_extract_flagstat	6626258	6626258	100.0
JS6347_extract_flagstat	76535528	76535528	100.0
JS6349_extract_flagstat	78181972	78181972	100.0
JS6350_extract_flagstat	69333773	69333773	100.0
JS6351_extract_flagstat	72708336	72708336	100.0
JS6352_extract_flagstat	105760696	105760696	100.0
JS6353_extract_flagstat	77737925	77737925	100.0
JS6354_extract_flagstat	85367333	85367333	100.0
JS6355_extract_flagstat	106555782	106555782	100.0
JS6356_extract_flagstat	90151337	90151337	100.0
JS6357_extract_flagstat	66690461	66690461	100.0
JS6358_extract_flagstat	78008675	78008675	100.0
JS6359_extract_flagstat	6811976	6811976	100.0
JS6360_extract_flagstat	63782339	63782339	100.0
JS6368_extract_flagstat	81156638	81156638	100.0
JS6369_extract_flagstat	81939998	81939998	100.0
JS6370_extract_flagstat	85170406	85170406	100.0
SRR13154013_extract_flagstat	8175021	8175021	100.0
SRR13154014_extract_flagstat	7955476	7955476	100.0
SRR13154015_extract_flagstat	62785773	62785773	100.0
SRR13154016_extract_flagstat	69152226	69152226	100.0
SRR13154017_extract_flagstat	67558916	67558916	100.0
