Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
JS6277_flagstat1	77558053	77509803	99.94
JS6278_flagstat1	76532079	62610545	81.81
JS6279_flagstat1	77085165	76927803	99.8
JS6280_flagstat1	70713007	70331897	99.46
JS6281_flagstat1	74681929	74631081	99.93
JS6342_flagstat1	71846580	71542796	99.58
JS6343_flagstat1	128791508	128388551	99.69
JS6344_flagstat1	101693666	101483306	99.79
JS6345_flagstat1	91019974	90598320	99.54
JS6346_flagstat1	7467786	7388684	98.94
JS6347_flagstat1	81105897	80797602	99.62
JS6349_flagstat1	84739120	84514438	99.73
JS6350_flagstat1	72563055	72430708	99.82
JS6351_flagstat1	75652794	75437973	99.72
JS6352_flagstat1	109906608	109524151	99.65
JS6353_flagstat1	80633443	80498115	99.83
JS6354_flagstat1	88859765	88655832	99.77
JS6355_flagstat1	110386865	110140661	99.78
JS6356_flagstat1	93471768	93237158	99.75
JS6357_flagstat1	69409559	69242897	99.76
JS6358_flagstat1	81145389	80899180	99.7
JS6359_flagstat1	6947452	6914122	99.52
JS6360_flagstat1	66464693	66067209	99.4
JS6368_flagstat1	84088404	84013616	99.91
JS6369_flagstat1	85583963	85447230	99.84
JS6370_flagstat1	88129227	88058225	99.92
SRR13154013_flagstat1	8497475	8491285	99.93
SRR13154014_flagstat1	8383655	8376515	99.91
SRR13154015_flagstat1	65432261	65382074	99.92
SRR13154016_flagstat1	71548349	71503495	99.94
SRR13154017_flagstat1	69931113	69885158	99.93
