Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JS6277_merged_1	27.755312306655043	30.0	150.0	150	0.0	39178357.0
JS6277_merged_2	27.388150153687448	30.0	150.0	150	0.0	39178357.0
JS6278_merged_1	74.3841975989888	35.0	150.0	150	18.181818181818183	38990773.0
JS6278_merged_2	73.88285021858492	35.0	150.0	150	18.181818181818183	38990773.0
JS6279_merged_1	28.656361525242374	28.0	150.0	150	0.0	38994133.0
JS6279_merged_2	28.018939678928845	28.0	150.0	150	0.0	38994133.0
JS6280_merged_1	31.66556226019425	30.0	150.0	150	0.0	35846191.0
JS6280_merged_2	31.15377319086329	30.0	150.0	150	0.0	35846191.0
JS6281_merged_1	24.39484972196321	30.0	150.0	150	0.0	37717911.0
JS6281_merged_2	24.399433838984493	30.0	150.0	150	0.0	37717911.0
JS6342_merged_1	47.95600505480463	29.0	150.0	150	0.0	36066714.0
JS6342_merged_2	42.086040437637315	29.0	150.0	150	0.0	36066714.0
JS6343_merged_1	31.82979723448362	27.0	150.0	150	0.0	64884631.0
JS6343_merged_2	28.610746056743153	27.0	150.0	150	0.0	64884631.0
JS6344_merged_1	34.73906425096949	28.0	150.0	150	0.0	51084090.0
JS6344_merged_2	33.45243342706668	27.0	150.0	150	0.0	51084090.0
JS6345_merged_1	28.851825347282315	27.0	150.0	150	9.090909090909092	45768682.0
JS6345_merged_2	22.796911485395697	27.0	150.0	150	0.0	45768682.0
JS6346_DSFP220004098-1a_HJJFMDSX3_L3_1	45.26005175083625	32.0	150.0	150	0.0	3762748.0
JS6346_DSFP220004098-1a_HJJFMDSX3_L3_2	42.348115392941345	32.0	150.0	150	0.0	3762748.0
JS6347_merged_1	29.264281281451133	28.0	150.0	150	9.090909090909092	40762000.0
JS6347_merged_2	23.816310716752795	28.0	150.0	150	9.090909090909092	40762000.0
JS6348_DSFP220004100-1a_HLGNNDSX3_L2_1	28.398742959510642	52.0	150.0	150	9.090909090909092	4289915.0
JS6348_DSFP220004100-1a_HLGNNDSX3_L2_2	27.58528781151236	52.0	150.0	150	9.090909090909092	4289915.0
JS6349_merged_1	31.751043831615007	28.0	150.0	150	0.0	42601542.0
JS6349_merged_2	29.3849942351044	28.0	150.0	150	0.0	42601542.0
JS6350_merged_1	48.25351689951608	29.0	150.0	150	9.090909090909092	36448705.0
JS6350_merged_2	41.21599934735595	29.0	150.0	150	9.090909090909092	36448705.0
JS6351_merged_1	26.33180260365313	27.0	150.0	150	18.181818181818183	37991298.0
JS6351_merged_2	22.256119516983887	27.0	150.0	150	9.090909090909092	37991298.0
JS6352_merged_1	32.61931738298239	28.0	150.0	150	9.090909090909092	55194972.0
JS6352_merged_2	29.87752899803452	27.0	150.0	150	9.090909090909092	55194972.0
JS6353_merged_1	27.520992799975772	27.0	150.0	150	9.090909090909092	40464402.0
JS6353_merged_2	25.492926928716315	27.0	150.0	150	9.090909090909092	40464402.0
JS6354_merged_1	29.802034697220293	27.0	150.0	150	0.0	44687331.0
JS6354_merged_2	27.23061654232663	27.0	150.0	150	0.0	44687331.0
JS6355_merged_1	37.31325047705924	28.0	150.0	150	0.0	55552221.0
JS6355_merged_2	35.858742873201564	28.0	150.0	150	0.0	55552221.0
JS6356_merged_1	34.29745760945856	28.0	150.0	150	0.0	47076482.0
JS6356_merged_2	29.070172930243956	28.0	150.0	150	0.0	47076482.0
JS6357_merged_1	26.261185434178216	27.0	150.0	150	9.090909090909092	34897955.0
JS6357_merged_2	22.148301235567942	27.0	150.0	150	0.0	34897955.0
JS6358_merged_1	28.59107035415161	27.0	150.0	150	9.090909090909092	40797281.0
JS6358_merged_2	23.088500741896752	27.0	150.0	150	0.0	40797281.0
JS6359_DSFP220004111-1a_HLGNNDSX3_L1_1	41.57786653798106	31.0	150.0	150	0.0	3490195.0
JS6359_DSFP220004111-1a_HLGNNDSX3_L1_2	41.49258382051839	31.0	150.0	150	0.0	3490195.0
JS6360_merged_1	35.69947298426541	29.0	150.0	150	9.090909090909092	33373895.0
JS6360_merged_2	30.585625298904688	29.0	150.0	150	0.0	33373895.0
JS6368_merged_1	29.304415841772865	28.0	150.0	150	0.0	42262931.0
JS6368_merged_2	28.966649703409203	28.0	150.0	150	0.0	42262931.0
JS6369_merged_1	43.94063967591638	30.0	150.0	150	9.090909090909092	43103614.0
JS6369_merged_2	44.17475046342007	30.0	150.0	150	9.090909090909092	43103614.0
JS6370_merged_1	25.31334791603433	28.0	150.0	150	0.0	44309615.0
JS6370_merged_2	25.042266651811588	28.0	150.0	150	0.0	44309615.0
SRR13154013_1	21.809087365130054	29.0	150.0	150	0.0	4260389.0
SRR13154013_2	21.594019981113206	29.0	150.0	150	0.0	4260389.0
SRR13154014_1	22.96920984864944	28.0	150.0	150	0.0	4207474.0
SRR13154014_2	22.47430453386154	28.0	150.0	150	0.0	4207474.0
SRR13154015_1	24.69374433016266	28.0	150.0	150	0.0	32829527.0
SRR13154015_2	24.4068979216689	28.0	150.0	150	0.0	32829527.0
SRR13154016_1	22.942755105494015	28.0	150.0	150	0.0	35980845.0
SRR13154016_2	22.862885760502934	28.0	150.0	150	0.0	35980845.0
SRR13154017_1	22.746131439141365	28.0	150.0	150	0.0	35146725.0
SRR13154017_2	22.436093805626484	28.0	150.0	150	0.0	35146725.0
