Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JS6277_1_trimpaired	27.606653339625183	30.0	148.8767738812579	150	0.0	38712921.0
JS6277_1_trimunpaired	4.97864464313011	30.0	136.49836151919342	150	0.0	334151.0
JS6277_2_trimpaired	27.40427525864024	30.0	148.1932883338873	150	0.0	38712921.0
JS6277_2_trimunpaired	5.355928700570686	29.0	137.08839768820226	150	9.090909090909092	108487.0
JS6278_1_trimpaired	74.11499032719418	35.0	148.88203683256262	150	18.181818181818183	38186428.0
JS6278_1_trimunpaired	53.32818324670037	46.0	126.61278890438956	150	36.36363636363637	665921.0
JS6278_2_trimpaired	74.1123933179931	35.0	148.13066068918516	150	18.181818181818183	38186428.0
JS6278_2_trimunpaired	21.809095452273866	33.0	134.66001544682203	150	18.181818181818183	110055.0
JS6279_1_trimpaired	28.498121768856137	28.0	148.70554501664205	150	0.0	38440606.0
JS6279_1_trimunpaired	4.024107346900635	28.0	134.40592612630456	150	0.0	414031.0
JS6279_2_trimpaired	28.031777481047442	28.0	147.803020353009	150	0.0	38440606.0
JS6279_2_trimunpaired	5.006805964770379	27.0	135.82892679201368	150	9.090909090909092	109988.0
JS6280_1_trimpaired	31.417723628017185	30.0	148.77471945434274	150	0.0	35240877.0
JS6280_1_trimunpaired	14.367349263349709	32.0	125.11877011972172	147	18.181818181818183	466582.0
JS6280_2_trimpaired	31.082988533703016	30.0	147.82280426789606	150	0.0	35240877.0
JS6280_2_trimunpaired	5.375032308089942	29.0	133.50997156888084	150	9.090909090909092	96725.0
JS6281_1_trimpaired	24.253641269283563	30.0	148.77765012230245	150	0.0	37274808.0
JS6281_1_trimunpaired	4.56652460705638	30.0	133.53569250139444	150	0.0	306577.0
JS6281_2_trimpaired	24.32977567441347	30.0	148.26483758145716	150	0.0	37274808.0
JS6281_2_trimunpaired	5.1417470155313225	29.0	137.21662180169383	150	9.090909090909092	111817.0
JS6342_1_trimpaired	47.96097341789917	29.0	149.23039821116936	150	0.0	35853590.0
JS6342_1_trimunpaired	16.07407648108496	30.0	136.88356145054325	150	18.181818181818183	141740.0
JS6342_2_trimpaired	42.285276387186435	29.0	149.12321368655134	150	0.0	35853590.0
JS6342_2_trimunpaired	5.991840091087354	28.0	140.77846479853247	150	18.181818181818183	63236.0
JS6343_1_trimpaired	31.724267943267876	27.0	149.10372897209353	150	0.0	64253900.0
JS6343_1_trimunpaired	8.553896544392927	27.0	139.5653941479939	150	0.0	514832.0
JS6343_2_trimpaired	28.73487008137208	27.0	148.09469913888495	150	0.0	64253900.0
JS6343_2_trimunpaired	8.150678150678146	25.0	139.23290763290763	150	9.090909090909092	101010.0
JS6344_1_trimpaired	34.63486992443403	28.0	149.10997548325795	150	0.0	50703719.0
JS6344_1_trimunpaired	9.033299751624654	27.0	142.71463011581906	150	9.090909090909092	279574.0
JS6344_2_trimpaired	33.54882745923878	28.0	148.76371011365063	150	0.0	50703719.0
JS6344_2_trimunpaired	7.3481442299215445	26.0	140.45511548972934	150	18.181818181818183	90744.0
JS6345_1_trimpaired	28.769283086296213	27.0	149.07390852643923	150	9.090909090909092	45388525.0
JS6345_1_trimunpaired	4.392607196072106	27.0	142.39409086014595	150	0.0	287893.0
JS6345_2_trimpaired	22.912720500093727	27.0	148.6276450931155	150	0.0	45388525.0
