#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Mito_align_cleaned_outgroups" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Mito_align_cleaned_outgroups" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Mito_align_cleaned_outgroups" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Mito_align_cleaned_outgroups" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <distribution id="BMT_PropInvariablePrior.s:Mito_align_cleaned_outgroups" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:Mito_align_cleaned_outgroups" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:Mito_align_cleaned_outgroups" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.1" name="distr">
#                <alpha id="Function$Constant.5" spec="beast.base.core.Function$Constant" value="1.0"/>
#                <beta id="Function$Constant.6" spec="beast.base.core.Function$Constant" value="4.0"/>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:Mito_align_cleaned_outgroups" spec="bmodeltest.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:Mito_align_cleaned_outgroups" lower="0" spec="beast.base.inference.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:Mito_align_cleaned_outgroups" modelIndicator="@BMT_ModelIndicator.s:Mito_align_cleaned_outgroups" spec="bmodeltest.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:Mito_align_cleaned_outgroups" lower="0.01" name="rates" spec="beast.base.inference.parameter.RealParameter" upper="100.0">1.0</parameter>
#                <frequencies empirical="false" id="BMTfreqs.s:Mito_align_cleaned_outgroups" spec="bmodeltest.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:Mito_align_cleaned_outgroups" spec="beast.base.inference.parameter.BooleanParameter">false</hasEqualFreqs>
#                    <parameter dimension="4" id="BMT_frequencies.s:Mito_align_cleaned_outgroups" name="frequencies" spec="beast.base.inference.parameter.RealParameter">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:Mito_align_cleaned_outgroups" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:Mito_align_cleaned_outgroupsx" name="distr"/>
#        </distribution>
#        <prior id="BMT_freqsPrior.s:Mito_align_cleaned_outgroups" name="distribution" x="@BMT_frequencies.s:Mito_align_cleaned_outgroups">
#            <distr id="Dirichlet.1" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.7" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <distribution id="BMT_GammaShapePrior.s:Mito_align_cleaned_outgroups" spec="bmodeltest.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:Mito_align_cleaned_outgroups" spec="beast.base.inference.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:Mito_align_cleaned_outgroups" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="mean" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Mito_align_cleaned_outgroups" name="distribution" x="@birthRate.t:Mito_align_cleaned_outgroups">
#            <Uniform id="Uniform.6" name="distr" upper="100.0"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Mito_align_cleaned_outgroups" id="treeLikelihood.Mito_align_cleaned_outgroups" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Mito_align_cleaned_outgroups">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:Mito_align_cleaned_outgroups" hasInvariantSites="@hasInvariableSites.s:Mito_align_cleaned_outgroups" id="BEASTModelTest.s:Mito_align_cleaned_outgroups" proportionInvariant="@BMT_ProportionInvariable.s:Mito_align_cleaned_outgroups" shape="@BMT_gammaShape.s:Mito_align_cleaned_outgroups" spec="bmodeltest.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:Mito_align_cleaned_outgroups">
#                <parameter id="BMT_mutationRate.s:Mito_align_cleaned_outgroups" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Mito_align_cleaned_outgroups" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Mito_align_cleaned_outgroups" lower="6.201923077E-10" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="9.182692308E-10">7.692307692E-10</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BMT_frequencies.1	BMT_frequencies.2	BMT_frequencies.3	BMT_frequencies.4	BMT_mutationRate	YuleModel	birthRate
0	-1033189.1283443297	-1033172.3922547293	-16.736089600391068	-1033172.3922547293	1.249197823946607	10.53080961325856	1.0	1.0	1.0	1.0	1.0	1.0	121321	5	1.0	0.1	1	1	0.1	1.0	0	0.25	0.25	0.25	0.25	1.0	-10.530809613258562	1.0
500000	-49943.7689750314	-47369.128030580694	-2574.6409444507044	-47369.128030580694	2.042151996712593E8	9.655909108743836E8	0.1352313654156315	3.89431334996856	0.3325053319663602	0.09541796029745134	1.2100266603856347	0.3325053319663602	123453	28	1.2871052456452334	0.49407560157040215	1	1	0.49407560157040215	1.2871052456452334	0	0.19725671382337967	0.058021544827064446	0.18294685272377198	0.5617748886257844	1.0	-2565.23416016999	1.7770619975703726E-7
1000000	-49952.362229256665	-47379.77163571487	-2572.590593541801	-47379.77163571487	2.0151242313507468E8	9.472914549566499E8	0.12090915069712042	3.88692280205637	0.36273491242677486	0.12090915069712042	1.1457890716958359	0.36273491242677486	123143	15	0.9754295289846721	0.4498986577823285	1	1	0.4498986577823285	0.9754295289846721	0	0.2004285988992998	0.05995074999111883	0.18735312256456504	0.5522675285450173	1.0	-2563.8538178601193	1.936497318892456E-7
1500000	-49938.399098852555	-47367.12397924152	-2571.2751196110326	-47367.12397924152	2.0510780984899363E8	9.542774195972698E8	0.13885387945128252	3.8526389822640357	0.35253398066793984	0.13885387945128252	1.164585297497517	0.35253398066793984	123143	15	0.9423235405966512	0.45968234824601384	1	1	0.45968234824601384	0.9423235405966512	0	0.19890878524829855	0.05846508688463901	0.18290758606873522	0.5597185417983278	1.0	-2562.5133724949505	1.6450142966687626E-7
2000000	-49935.31326279709	-47365.307067145346	-2570.006195651742	-47365.307067145346	2.0030938424893466E8	9.426712344038144E8	0.13203367946699468	3.9389830937547132	0.3667203578131305	0.13203367946699468	1.0635088316850347	0.3667203578131305	123143	15	1.1741782406559766	0.4854057393246932	1	1	0.4854057393246932	1.1741782406559766	0	0.19512830322798347	0.06283878019946232	0.18286279463098973	0.5591701219415647	1.0	-2560.8705241798853	1.7323292086589343E-7
2500000	-49959.299270677715	-47394.07876220999	-2565.2205084677225	-47394.07876220999	1.9285838856214374E8	9.113637317290139E8	0.1454997776433875	3.6979331721416866	0.3605632681974624	0.1454997776433875	1.28994073617661	0.3605632681974624	123143	15	1.2438976785509483	0.5057001737467851	1	1	0.5057001737467851	1.2438976785509483	0	0.1979879605634532	0.05918098458406624	0.18625078570172188	0.5565802691507593	1.0	-2555.8749453434098	1.826128805785215E-7
3000000	-49940.97126577516	-47371.11333221972	-2569.8579335554396	-47371.11333221972	1.9961693467520157E8	9.481384397463834E8	0.15012892720910692	3.807087534587398	0.34916733876012307	0.15012892720910692	1.19431993347414	0.34916733876012307	123143	15	0.7433868659356891	0.41561662222828955	1	1	0.41561662222828955	0.7433868659356891	0	0.20049643051549376	0.06016935408586519	0.18622538241958275	0.5531088329790594	1.0	-2561.5251800096335	1.6586938412043388E-7
3500000	-49930.68513478055	-47360.36072721257	-2570.324407567984	-47360.36072721257	2.0085270640813577E8	9.47912857134466E8	0.13289228949165252	3.7977167756437864	0.3596610783882352	0.13289228949165252	1.217176488596432	0.3596610783882352	123143	15	0.9842686467522525	0.4692710129712324	1	1	0.4692710129712324	0.9842686467522525	0	0.20211109550797562	0.05887034593186007	0.18728509432770254	0.5517334642324628	1.0	-2561.4624978467964	1.6079791239674643E-7
4000000	-49928.75221639768	-47355.57220326236	-2573.1800131353198	-47355.57220326236	2.0566580220969278E8	9.635944534985601E8	0.15137726568519175	3.8247614404297585	0.3434620525349083	0.15137726568519175	1.1843182589645151	0.3447037167004274	123145	16	0.9015078067381828	0.4732031763018405	1	1	0.4732031763018405	0.9015078067381828	0	0.19819392710402656	0.05901486153266951	0.19179529788237035	0.5509959134809341	1.0	-2564.035988537375	1.5559239330872435E-7
4500000	-49956.754891102806	-47390.508678669146	-2566.2462124336603	-47390.508678669146	1.9799844528842363E8	9.21067769121079E8	0.1361690595709803	3.818237940426448	0.38367866634498077	0.1361690595709803	1.1420666077416246	0.38367866634498077	123143	15	1.179096632568194	0.4894569860645806	1	1	0.4894569860645806	1.179096632568194	0	0.197895874107044	0.061937504451184566	0.18620436330336823	0.5539622581384038	1.0	-2557.0689422191795	1.6347018334110607E-7
5000000	-49949.09675180464	-47381.59118825274	-2567.5055635518934	-47381.59118825274	1.9630357666877884E8	9.268129931180359E8	0.15377048597570672	3.7637973319555855	0.35951458715020745	0.15377048597570672	1.2096325217925792	0.35951458715020745	123143	15	1.0826273165113176	0.469950118805495	1	1	0.469950118805495	1.0826273165113176	0	0.1987393385000417	0.05879760782516774	0.191308559916434	0.551154493758357	1.0	-2558.53459610321	1.525479874863087E-7
5500000	-49954.776862190294	-47386.29583741306	-2568.481024777232	-47386.29583741306	2.0031833909304905E8	9.38304135253702E8	0.1573565728653688	3.7944703844529246	0.3636980585790527	0.1573565728653688	1.1634203526582256	0.3636980585790527	123143	15	0.7418618789044878	0.4122443363335839	1	1	0.4122443363335839	0.7418618789044878	0	0.19797228891873556	0.06171934555259632	0.18844998037003027	0.5518583851586382	1.0	-2560.1615276466446	1.7415261242048513E-7
6000000	-49941.977881528575	-47376.55071759664	-2565.4271639319313	-47376.55071759664	1.89008192426148E8	9.139523191571357E8	0.12492560483472585	3.8622804986548624	0.35793234049144823	0.12492560483472585	1.1720036106927778	0.35793234049144823	123143	15	1.1904183412807416	0.4990347055896258	1	1	0.4990347055896258	1.1904183412807416	0	0.19723029849584855	0.059578727941973636	0.1841316984043445	0.5590592751578343	1.0	-2556.1930134548365	1.802376510042401E-7
