city,country,latitude,longitude,label,collection
USA: Wisconsin,USA,46.665,-91.1222,"Wisconsin, n = 1 (D. ursi)",This study
USA: Illinois,USA,40.6331,-89.3985,"Illinois, n = 2",This study
USA: Missouri,USA,37.9643,-91.8318,"Missouri, n = 2",This study
USA: Texas,USA,31.9686,-99.9018,"Texas, n = 15",This study
USA: Louisiana,USA,32.1632,-91.7207,"Louisiana, n = 2",This study
USA: Georgia,USA,32.1574,-82.9071,"Georgia, n = 1",Public data
USA: Florida,USA,27.6648,-81.5158,"Florida, n = 16",This study
CRI: San Jose,Costa Rica,9.9281,-84.0907,"San Jose, n = 1",This study
PAN: Boca Chica,Panama,8.2112,-82.1931,"Boca Chica, n = 5",This study
PAN: Puerto Armuelles,Panama,8.2743,-82.86,"Puerto Armuelles, n = 6",This study
PAN: San Lorenzo,Panama,8.307,-82.0952,"San Lorenzo, n = 3",This study
ITA: Northeast,Italy,45.9295,11.5621,"Northeast Italy, n = 3",This study
ITA: Northeast,Italy,45.9295,11.5621,"Northeast Italy, n = 2 (D. repens)",This study
ITA: Pavia,Italy,45.183334,9.15,"Pavia, n = 1",Public data
ROU: Bucharest,Romania,44.4268,26.1025,"Bucharest, n = 1",This study
ROU: Comana,Romania,44.1713,26.1431,"Comana, n = 1",This study
ROU: Giurgiu,Romania,43.9037,25.9699,"Giurgiu, n = 1",This study
GRC: Thess/Xanthi,Greece,40.6401,22.9444,"Thessaloniki/Xanthi, n = 12",This study
THA: Bangkok,Thailand,13.736717,100.523186,"Bangkok, n = 6",This study
VNM: Ha Noi,Vietnam,20.8746,105.6712,"Ha Noi, n = 1 (D. sp. Thailand II)",This study
VNM: Hai Phong,Vietnam,20.9451,106.6716,"Hai Phong, n = 1 (D. sp. Thailand II)",This study
MYS: Selangor,Malaysia,3.5092,101.5248,"Selangor, n = 1",This study
AUS: Lockhart River,Australia,-12.7861,143.3419,"Lockhart River, n = 1",This study
AUS: Cairns,Australia,-16.9203,145.771,"Cairns, n = 2",This study
AUS: Townsville,Australia,-19.259,146.8169,"Townsville, n = 19",This study
AUS: Rockhampton,Australia,-23.375,150.511673,"Rockhampton, n = 1",This study
AUS: Brisbane,Australia,-27.4705,153.026,"Brisbane, n = 8",This study
AUS: Sydney,Australia,-33.8688,151.2093,"Sydney, n = 12",This study
AUS: Sydney,Australia,-34,149,"Sydney, n = 5",Public data
