sample_name,species,country,city,location,latitude,longitude,host,collection
AUS_BNE_AD_001,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_002,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_003,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_003_R,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_004,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_006,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Fox,This study
AUS_BNE_AD_008,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_BNE_AD_009,D_immitis,AUS,Brisbane,Brisbane,-27.4705,153.026,Dog,This study
AUS_CNS_AD_001,D_immitis,AUS,Cairns,Cairns,-16.9203,145.771,Dog,This study
AUS_CNS_AD_002,D_immitis,AUS,Cairns,Cairns,-16.9203,145.771,Dog,This study
AUS_LHR_AD_001,D_immitis,AUS,Lockhart River,Lockhart River,-12.7861,143.3419,Dog,This study
AUS_ROK_AD_001,D_immitis,AUS,Rockhampton,Rockhampton,-23.375,150.511673,Dog,This study
AUS_SYD_AD_001,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,Public data
AUS_SYD_AD_002,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,Public data
AUS_SYD_AD_003,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,Public data
AUS_SYD_AD_004,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,Public data
AUS_SYD_AD_005,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,Public data
AUS_SYD_AD_005_R,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_006,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_007,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_008,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_008_R,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_009,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_010,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_011,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_012,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_013,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_014,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_015,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_SYD_AD_017,D_immitis,AUS,Sydney,Sydney,-33.8688,151.2093,Dog,This study
AUS_TVS_AD_001,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_002,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_003,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_004,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_005,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_006,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_007,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_008,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_010,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_011,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_012,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_013,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_014,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_015,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_016,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_017,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_018,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
AUS_TVS_AD_019,D_immitis,AUS,Townsville,Townsville,-19.259,146.8169,Dog,This study
