Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
JS6277_flagstat2	74048559	74048559	100.0
JS6278_flagstat2	47608124	47608124	100.0
JS6279_flagstat2	73532222	73532222	100.0
JS6280_flagstat2	66428507	66428507	100.0
JS6281_flagstat2	71079593	71079593	100.0
JS6342_flagstat2	69784508	69784508	100.0
JS6343_flagstat2	123874119	123874119	100.0
JS6344_flagstat2	98235004	98235004	100.0
JS6345_flagstat2	87542928	87542928	100.0
JS6346_flagstat2	7264683	7264683	100.0
JS6347_flagstat2	77438443	77438443	100.0
JS6349_flagstat2	81664762	81664762	100.0
JS6350_flagstat2	70547477	70547477	100.0
JS6351_flagstat2	72720969	72720969	100.0
JS6352_flagstat2	105778046	105778046	100.0
JS6353_flagstat2	77751337	77751337	100.0
JS6354_flagstat2	85380794	85380794	100.0
JS6355_flagstat2	106578023	106578023	100.0
JS6356_flagstat2	90166325	90166325	100.0
JS6357_flagstat2	66702066	66702066	100.0
JS6358_flagstat2	78022247	78022247	100.0
JS6359_flagstat2	6814012	6814012	100.0
JS6360_flagstat2	63881536	63881536	100.0
JS6368_flagstat2	81250231	81250231	100.0
JS6369_flagstat2	81949704	81949704	100.0
JS6370_flagstat2	85200330	85200330	100.0
SRR13154013_flagstat2	8193426	8193426	100.0
SRR13154014_flagstat2	8059754	8059754	100.0
SRR13154015_flagstat2	62816671	62816671	100.0
SRR13154016_flagstat2	69161367	69161367	100.0
SRR13154017_flagstat2	67592664	67592664	100.0
