pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
CENAM	dirofilaria_immitis_chrX	1	100000	0.0001933130799664	91366	6660	34451885	1448287
USA	dirofilaria_immitis_chrX	1	100000	0.0003680113953423	91397	76341	207441946	8908826
ASIA	dirofilaria_immitis_chrX	1	100000	0.0001118617171028	91334	923	8251259	391375
EUR	dirofilaria_immitis_chrX	1	100000	4.734501684908366e-05	91372	1616	34132420	1767752
AUS	dirofilaria_immitis_chrX	1	100000	0.0003029147323443	91359	101272	334325106	29235366
ASIA	dirofilaria_immitis_chrX	100001	200000	0.0001525519609926	94266	1275	8357808	507594
AUS	dirofilaria_immitis_chrX	100001	200000	0.0004185257986346	95470	146757	350652219	22279197
EUR	dirofilaria_immitis_chrX	100001	200000	5.020444784786553e-05	94886	1735	34558691	2266825
USA	dirofilaria_immitis_chrX	100001	200000	0.0004362081865204	95972	91652	210110683	11816633
CENAM	dirofilaria_immitis_chrX	100001	200000	5.877730656315368e-05	94340	2052	34911433	1914083
USA	dirofilaria_immitis_chrX	200001	300000	0.0006893819978819	96409	151139	219238391	381311
CENAM	dirofilaria_immitis_chrX	200001	300000	0.0002616466080995	96409	9535	36442284	318
AUS	dirofilaria_immitis_chrX	200001	300000	0.0007652304554367	96409	281999	368515129	538523
EUR	dirofilaria_immitis_chrX	200001	300000	0.0001176271509934	96409	4266	36267137	175465
ASIA	dirofilaria_immitis_chrX	200001	300000	0.000189463307824	96409	1661	8766869	6350
AUS	dirofilaria_immitis_chrX	300001	400000	0.0007348281059391	96102	269659	366968816	909640
CENAM	dirofilaria_immitis_chrX	300001	400000	0.0003192266851926	96102	11596	36325284	1272
EUR	dirofilaria_immitis_chrX	300001	400000	0.0003056131267444	96102	11033	36101198	225358
ASIA	dirofilaria_immitis_chrX	300001	400000	0.0004090787781768	96102	3573	8734259	11023
USA	dirofilaria_immitis_chrX	300001	400000	0.0008591764686455	96102	187572	218316035	604321
AUS	dirofilaria_immitis_chrX	400001	500000	0.0006521593508388	94728	236150	362104752	514032
CENAM	dirofilaria_immitis_chrX	400001	500000	0.0001863343577347	94728	6672	35806601	583
EUR	dirofilaria_immitis_chrX	400001	500000	0.000423318656489	94728	15072	35604384	202800
USA	dirofilaria_immitis_chrX	400001	500000	0.0008467404317865	94728	182544	215584367	206017
ASIA	dirofilaria_immitis_chrX	400001	500000	0.0003676387366089	94728	3167	8614435	5813
EUR	dirofilaria_immitis_chrX	500001	600000	0.0002197946165164	93833	7610	34623232	1118558
ASIA	dirofilaria_immitis_chrX	500001	600000	0.0002956432961275	93533	2484	8402017	202488
CENAM	dirofilaria_immitis_chrX	500001	600000	0.0003285625904158	94135	11492	34976593	765197
AUS	dirofilaria_immitis_chrX	500001	600000	0.0007314742429068	93833	257803	352443032	9513508
USA	dirofilaria_immitis_chrX	500001	600000	0.0010549784322955	94341	221684	210131310	5264980
ASIA	dirofilaria_immitis_chrX	600001	700000	0.0002176593159658	93691	1849	8494927	138971
AUS	dirofilaria_immitis_chrX	600001	700000	0.0009284630052915	93702	331327	356855360	6337624
EUR	dirofilaria_immitis_chrX	600001	700000	0.0003383919653716	93704	11870	35077665	786219
USA	dirofilaria_immitis_chrX	600001	700000	0.0013059259843204	93706	276997	212107733	4024351
CENAM	dirofilaria_immitis_chrX	600001	700000	0.0001613638370959	93693	5713	35404463	459421
AUS	dirofilaria_immitis_chrX	700001	800000	0.00080759053933	92948	285732	353808008	1996936
EUR	dirofilaria_immitis_chrX	700001	800000	0.0001708660624411	92948	5915	34617758	516586
ASIA	dirofilaria_immitis_chrX	700001	800000	0.0002354900785093	92948	1981	8412244	46024
CENAM	dirofilaria_immitis_chrX	700001	800000	0.0001678396413088	92948	5895	35122811	11533
USA	dirofilaria_immitis_chrX	700001	800000	0.0009625934025303	92948	202463	210330758	1404786
CENAM	dirofilaria_immitis_chrX	800001	900000	0.0001890677339574	94477	6741	35653889	99619
ASIA	dirofilaria_immitis_chrX	800001	900000	0.0002497174573468	94486	2132	8537649	69677
EUR	dirofilaria_immitis_chrX	800001	900000	0.0003126846151669	94490	11007	35201604	551904
AUS	dirofilaria_immitis_chrX	800001	900000	0.0009109011611217	94503	326683	358637154	3438054
USA	dirofilaria_immitis_chrX	800001	900000	0.0009841420818157	94490	210148	213534208	1932700
CENAM	dirofilaria_immitis_chrX	900001	1000000	0.0005539758801272	93438	19534	35261463	58101
USA	dirofilaria_immitis_chrX	900001	1000000	0.0011464419370146	93438	242020	211105327	1746437
ASIA	dirofilaria_immitis_chrX	900001	1000000	0.000508073913452	93434	4293	8449558	53300
EUR	dirofilaria_immitis_chrX	900001	1000000	0.0005722991963651	93438	19922	34810463	509101
AUS	dirofilaria_immitis_chrX	900001	1000000	0.0008580785872007	93438	304858	355279813	2400851
