pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Fox	Wildcat	dirofilaria_immitis_chrX	1	100000	8.795590477307377e-05	91025	96	1091456	48232
Fox	Golden_jackal	dirofilaria_immitis_chrX	1	100000	9.340282992260384e-05	91081	102	1092044	47644
Fox	Ferret	dirofilaria_immitis_chrX	1	100000	0.0004066425611887	91063	444	1091868	47820
Cat	Leopard	dirofilaria_immitis_chrX	1	100000	0.0003234737794347	91265	472	1459160	60424
Dog	Ferret	dirofilaria_immitis_chrX	1	100000	0.0004081842588012	91071	16634	40751204	2177044
Fox	Leopard	dirofilaria_immitis_chrX	1	100000	7.683582744868465e-05	91204	84	1093240	46448
Fox	Cat	dirofilaria_immitis_chrX	1	100000	0.0003353380417905	91223	1466	4371708	187044
Wildcat	Golden_jackal	dirofilaria_immitis_chrX	1	100000	4.39981080813525e-05	90913	16	363652	16244
Dog	Fox	dirofilaria_immitis_chrX	1	100000	0.0003615504965308	91255	44212	122284440	6500304
Leopard	Wildcat	dirofilaria_immitis_chrX	1	100000	1.647953242073345e-05	91022	6	364088	15808
Cat	Ferret	dirofilaria_immitis_chrX	1	100000	0.0003844062844935	91071	560	1456792	62792
Cat	Golden_jackal	dirofilaria_immitis_chrX	1	100000	0.0003293138745423	91135	480	1457576	62008
Dog	Wildcat	dirofilaria_immitis_chrX	1	100000	0.0003633012434415	91088	14802	40743048	2185200
Dog	Leopard	dirofilaria_immitis_chrX	1	100000	0.0003577817531305	91266	14600	40807000	2121248
Dog	Cat	dirofilaria_immitis_chrX	1	100000	0.000396781260611	91316	64756	163203272	8509720
Cat	Wildcat	dirofilaria_immitis_chrX	1	100000	0.0003323344987928	91071	484	1456364	63220
Wildcat	Ferret	dirofilaria_immitis_chrX	1	100000	0.0004123734013657	90937	150	363748	16148
Leopard	Ferret	dirofilaria_immitis_chrX	1	100000	0.0004008830409999	91049	146	364196	15700
Leopard	Golden_jackal	dirofilaria_immitis_chrX	1	100000	3.292903792327534e-05	91105	12	364420	15476
