pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Cat	dirofilaria_immitis_chrX	1	100000	0.0003971351438361	91316	1014	2553287	105985
Fox	dirofilaria_immitis_chrX	1	100000	0.0001369263189958	91255	187	1365698	58912
Wildcat	dirofilaria_immitis_chrX	1	100000	2.1956789039170916e-05	91088	2	91088	3886
Dog	dirofilaria_immitis_chrX	1	100000	0.000385552551889	91407	876544	2273474772	141239178
Ferret	dirofilaria_immitis_chrX	1	100000	0.0005270613038179	91071	48	91071	3903
Golden_jackal	dirofilaria_immitis_chrX	1	100000	1.0972732759093651e-05	91135	1	91135	3839
Leopard	dirofilaria_immitis_chrX	1	100000	2.1913965770385463e-05	91266	2	91266	3708
Leopard	dirofilaria_immitis_chrX	100001	200000	2.1584752530812237e-05	92658	2	92658	4764
Cat	dirofilaria_immitis_chrX	100001	200000	0.0003816945464331	93625	990	2593697	134119
Wildcat	dirofilaria_immitis_chrX	100001	200000	0.0	91724	0	91724	5698
Golden_jackal	dirofilaria_immitis_chrX	100001	200000	0.0	92677	0	92677	4745
Ferret	dirofilaria_immitis_chrX	100001	200000	0.0006943841680409	92168	64	92168	5254
Dog	dirofilaria_immitis_chrX	100001	200000	0.0004413684980612	96273	1030665	2335157594	141796756
Fox	dirofilaria_immitis_chrX	100001	200000	0.0002209919131451	92984	305	1380141	81189
Cat	dirofilaria_immitis_chrX	200001	300000	0.0007060828332221	96409	1906	2699400	52
Dog	dirofilaria_immitis_chrX	200001	300000	0.0007643708516847	96409	1870348	2446911726	4287099
Leopard	dirofilaria_immitis_chrX	200001	300000	1.0372475598751154e-05	96409	1	96409	0
Fox	dirofilaria_immitis_chrX	200001	300000	0.0003748084466057	96409	542	1446072	63
Golden_jackal	dirofilaria_immitis_chrX	200001	300000	0.0	96409	0	96409	0
Wildcat	dirofilaria_immitis_chrX	200001	300000	2.0747964106022098e-05	96395	2	96395	14
Ferret	dirofilaria_immitis_chrX	200001	300000	0.0010683649866713	96409	103	96409	0
Fox	dirofilaria_immitis_chrX	300001	400000	0.0005119560467003	96102	738	1441530	0
Dog	dirofilaria_immitis_chrX	300001	400000	0.0008549022439497	96102	2083291	2436876280	6517070
Cat	dirofilaria_immitis_chrX	300001	400000	0.0008399382459562	96102	2260	2690674	182
Ferret	dirofilaria_immitis_chrX	300001	400000	0.0011550227882874	96102	111	96102	0
Golden_jackal	dirofilaria_immitis_chrX	300001	400000	0.0	96102	0	96102	0
Wildcat	dirofilaria_immitis_chrX	300001	400000	7.284003288207198e-05	96101	7	96101	1
Leopard	dirofilaria_immitis_chrX	300001	400000	0.000478663073225	96101	46	96101	1
Cat	dirofilaria_immitis_chrX	400001	500000	0.0007932486397143	94728	2104	2652384	0
Golden_jackal	dirofilaria_immitis_chrX	400001	500000	0.0	94728	0	94728	0
Ferret	dirofilaria_immitis_chrX	400001	500000	0.001509585339076	94728	143	94728	0
Leopard	dirofilaria_immitis_chrX	400001	500000	0.0007284013174562	94728	69	94728	0
Fox	dirofilaria_immitis_chrX	400001	500000	0.0006180591534701	94728	878	1420576	344
Dog	dirofilaria_immitis_chrX	400001	500000	0.0007825605066528	94728	1881747	2404602563	3856837
Wildcat	dirofilaria_immitis_chrX	400001	500000	1.055654083269994e-05	94728	1	94728	0
Dog	dirofilaria_immitis_chrX	500001	600000	0.0009823596586572	94392	2300585	2341896860	62164015
Leopard	dirofilaria_immitis_chrX	500001	600000	0.0003354143449141	92423	31	92423	2132
Cat	dirofilaria_immitis_chrX	500001	600000	0.0009864290804537	93351	2558	2593192	54348
Fox	dirofilaria_immitis_chrX	500001	600000	0.0006219627904627	93398	862	1385935	32390
Wildcat	dirofilaria_immitis_chrX	500001	600000	3.2334554860961416e-05	92780	3	92780	1775
Golden_jackal	dirofilaria_immitis_chrX	500001	600000	5.405756049041019e-05	92494	5	92494	2061
