pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Rockhampton	dirofilaria_immitis_chrX	1	100000	0.0003962662909475	90848	36	90848	4126
Lockhart_River	dirofilaria_immitis_chrX	1	100000	0.0004714498728181	91208	43	91208	3766
Townsville	dirofilaria_immitis_chrX	1	100000	0.0003311568118755	91359	18980	57314237	2519383
Sydney	dirofilaria_immitis_chrX	1	100000	0.0002566678875559	91359	10590	41259544	5847560
Cairns	dirofilaria_immitis_chrX	1	100000	5.511129726482632e-06	91053	3	544353	25491
Brisbane	dirofilaria_immitis_chrX	1	100000	0.0002601712085488	91327	1506	5788496	479788
Brisbane	dirofilaria_immitis_chrX	100001	200000	0.000272772864806	93910	1654	6063653	366199
Cairns	dirofilaria_immitis_chrX	100001	200000	7.258210851025222e-06	92815	4	551100	33432
Rockhampton	dirofilaria_immitis_chrX	100001	200000	0.000659659140064	92472	61	92472	4950
Lockhart_River	dirofilaria_immitis_chrX	100001	200000	0.0004517149033652	92979	42	92979	4443
Townsville	dirofilaria_immitis_chrX	100001	200000	0.0004319397099979	94571	25066	58031247	3344613
Sydney	dirofilaria_immitis_chrX	100001	200000	0.0003875182585833	94823	17480	45107552	3213760
Cairns	dirofilaria_immitis_chrX	200001	300000	0.0	96409	0	578454	0
Brisbane	dirofilaria_immitis_chrX	200001	300000	0.0005396830485774	96409	3434	6362994	0
Townsville	dirofilaria_immitis_chrX	200001	300000	0.0007996903910179	96409	48571	60737256	414
Sydney	dirofilaria_immitis_chrX	200001	300000	0.0007130655387285	96409	33963	47629563	189301
Lockhart_River	dirofilaria_immitis_chrX	200001	300000	0.0012446970718501	96409	120	96409	0
Rockhampton	dirofilaria_immitis_chrX	200001	300000	0.0011720897426588	96409	113	96409	0
Brisbane	dirofilaria_immitis_chrX	300001	400000	0.0005212437576093	96102	3306	6342522	210
Cairns	dirofilaria_immitis_chrX	300001	400000	5.203346792657037e-06	96102	3	576552	60
Townsville	dirofilaria_immitis_chrX	300001	400000	0.0007477418715775	96102	45270	60542283	1977
Sydney	dirofilaria_immitis_chrX	300001	400000	0.0006033316604038	96102	28569	47352065	314527
Rockhampton	dirofilaria_immitis_chrX	300001	400000	0.0010509776172984	96101	101	96101	1
