pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Lockhart_River	Townsville	dirofilaria_immitis_chrX	1	100000	0.0003441706402916	91208	2256	6554888	283240
Brisbane	Cairns	dirofilaria_immitis_chrX	1	100000	0.000245104688703	91053	1048	4275724	283028
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	1	100000	0.0003209925387897	91180	688	2143352	136024
Brisbane	Rockhampton	dirofilaria_immitis_chrX	1	100000	0.0003826721556886	90846	818	2137600	141776
Brisbane	Sydney	dirofilaria_immitis_chrX	1	100000	0.0003169674607379	91327	10370	32716292	3753724
Cairns	Lockhart_River	dirofilaria_immitis_chrX	1	100000	0.0002367163587518	90992	172	726608	33184
Sydney	Townsville	dirofilaria_immitis_chrX	1	100000	0.0003104954631675	91359	30854	99370212	10039836
Rockhampton	Townsville	dirofilaria_immitis_chrX	1	100000	0.0003719201795012	90848	2430	6533660	304468
Cairns	Townsville	dirofilaria_immitis_chrX	1	100000	0.0002410839476945	91053	3152	13074284	601972
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	1	100000	0.000451551796295	90798	164	363192	16704
Lockhart_River	Sydney	dirofilaria_immitis_chrX	1	100000	0.0003385090829046	91208	1870	5524224	554112
Rockhampton	Sydney	dirofilaria_immitis_chrX	1	100000	0.000279080435409	90848	1538	5510956	567380
Brisbane	Townsville	dirofilaria_immitis_chrX	1	100000	0.0003029888362541	91327	11682	38555876	2472892
Cairns	Sydney	dirofilaria_immitis_chrX	1	100000	0.0002512475301551	91053	2770	11024984	1131688
Cairns	Rockhampton	dirofilaria_immitis_chrX	1	100000	0.0004168000794956	90698	302	724568	35224
Brisbane	Cairns	dirofilaria_immitis_chrX	100001	200000	0.000591503609444	92531	2604	4402340	273916
Cairns	Sydney	dirofilaria_immitis_chrX	100001	200000	0.0003826878459436	92815	4468	11675312	794704
Cairns	Rockhampton	dirofilaria_immitis_chrX	100001	200000	0.0005768833063032	92156	424	734984	44392
Cairns	Lockhart_River	dirofilaria_immitis_chrX	100001	200000	0.0002337159753022	92332	172	735936	43440
Rockhampton	Sydney	dirofilaria_immitis_chrX	100001	200000	0.0004003049421948	92472	2344	5855536	379472
Sydney	Townsville	dirofilaria_immitis_chrX	100001	200000	0.0004302388437877	94239	45322	105341488	6888656
Rockhampton	Townsville	dirofilaria_immitis_chrX	100001	200000	0.0004389405374248	92466	2912	6634156	380228
Brisbane	Townsville	dirofilaria_immitis_chrX	100001	200000	0.000405950354245	93519	16128	39728996	2357308
Brisbane	Sydney	dirofilaria_immitis_chrX	100001	200000	0.0004510048138721	93760	15824	35086100	2323948
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	100001	200000	0.000451510978322	92661	998	2210356	127772
Brisbane	Rockhampton	dirofilaria_immitis_chrX	100001	200000	0.0003514626462238	92472	776	2207916	130212
Lockhart_River	Sydney	dirofilaria_immitis_chrX	100001	200000	0.0004019715030185	92712	2356	5861112	373896
Lockhart_River	Townsville	dirofilaria_immitis_chrX	100001	200000	0.000401735594135	92801	2668	6641184	373200
Cairns	Townsville	dirofilaria_immitis_chrX	100001	200000	0.000398827405097	92743	5276	13228780	799988
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	100001	200000	0.0004823586797463	92255	178	369020	20668
Brisbane	Rockhampton	dirofilaria_immitis_chrX	200001	300000	0.0006984133569825	96409	1616	2313816	0
Brisbane	Sydney	dirofilaria_immitis_chrX	200001	300000	0.0007283516355026	96409	26910	36946440	74616
Brisbane	Townsville	dirofilaria_immitis_chrX	200001	300000	0.0007543601044012	96409	31418	41648544	144
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	200001	300000	0.0008764741880944	96409	338	385636	0
Cairns	Rockhampton	dirofilaria_immitis_chrX	200001	300000	0.0009801989440819	96409	756	771272	0
Cairns	Sydney	dirofilaria_immitis_chrX	200001	300000	0.0008110118322631	96409	9988	12315480	24872
Cairns	Townsville	dirofilaria_immitis_chrX	200001	300000	0.0006987038970678	96409	9700	13882848	48
Lockhart_River	Sydney	dirofilaria_immitis_chrX	200001	300000	0.0007905497796269	96409	4868	6157740	12436
Cairns	Lockhart_River	dirofilaria_immitis_chrX	200001	300000	0.000622348535925	96409	480	771272	0
Lockhart_River	Townsville	dirofilaria_immitis_chrX	200001	300000	0.0008375803005262	96409	5814	6941424	24
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	200001	300000	0.0009196928364226	96409	2128	2313816	0
Rockhampton	Townsville	dirofilaria_immitis_chrX	200001	300000	0.0008064627661413	96409	5598	6941424	24
Sydney	Townsville	dirofilaria_immitis_chrX	200001	300000	0.0007868171985734	96409	87210	110838960	224208
Brisbane	Cairns	dirofilaria_immitis_chrX	200001	300000	0.0009836564359482	96409	4552	4627632	0
Rockhampton	Sydney	dirofilaria_immitis_chrX	200001	300000	0.0007181206091845	96409	4422	6157740	12436
Brisbane	Townsville	dirofilaria_immitis_chrX	300001	400000	0.0007822299252061	96102	32474	41514648	1416
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	300001	400000	0.0007996197903296	96089	1844	2306096	352
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	300001	400000	0.0008273665806344	96088	318	384352	56
Lockhart_River	Sydney	dirofilaria_immitis_chrX	300001	400000	0.0007870875866628	96089	4824	6128924	21604
Cairns	Rockhampton	dirofilaria_immitis_chrX	300001	400000	0.0008559238253811	96101	658	768760	56
Rockhampton	Townsville	dirofilaria_immitis_chrX	300001	400000	0.0008399868423258	96101	5812	6919156	188
Sydney	Townsville	dirofilaria_immitis_chrX	300001	400000	0.0007495008252358	96102	82694	110332100	377404
Rockhampton	Sydney	dirofilaria_immitis_chrX	300001	400000	0.000747519254086	96101	4582	6129608	20920
Cairns	Lockhart_River	dirofilaria_immitis_chrX	300001	400000	0.000663488858591	96089	510	768664	152
Brisbane	Cairns	dirofilaria_immitis_chrX	300001	400000	0.0010501833268004	96102	4844	4612528	368
Lockhart_River	Townsville	dirofilaria_immitis_chrX	300001	400000	0.000755099669109	96089	5224	6918292	1052
Brisbane	Sydney	dirofilaria_immitis_chrX	300001	400000	0.0008366543917476	96102	30770	36777432	125736
Brisbane	Rockhampton	dirofilaria_immitis_chrX	300001	400000	0.0007943156138516	96101	1832	2306388	60
Cairns	Sydney	dirofilaria_immitis_chrX	300001	400000	0.0006083872272943	96102	7458	12258640	42416
Cairns	Townsville	dirofilaria_immitis_chrX	300001	400000	0.0006099316529668	96102	8440	13837616	1072
Cairns	Sydney	dirofilaria_immitis_chrX	400001	500000	0.0006098455851146	94728	7380	12101424	23760
Brisbane	Townsville	dirofilaria_immitis_chrX	400001	500000	0.0006287502644025	94728	25730	40922448	48
Brisbane	Rockhampton	dirofilaria_immitis_chrX	400001	500000	0.0005946851335754	94728	1352	2273472	0
Brisbane	Cairns	dirofilaria_immitis_chrX	400001	500000	0.0007671086338428	94728	3488	4546944	0
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	400001	500000	0.0006536258198913	94728	1486	2273472	0
Brisbane	Sydney	dirofilaria_immitis_chrX	400001	500000	0.0008415538534969	94728	30552	36304272	71280
Lockhart_River	Sydney	dirofilaria_immitis_chrX	400001	500000	0.0006938026466967	94728	4198	6050712	11880
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	400001	500000	0.000543661852884	94728	206	378912	0
Cairns	Townsville	dirofilaria_immitis_chrX	400001	500000	0.0004747516570856	94728	6476	13640816	16
Sydney	Townsville	dirofilaria_immitis_chrX	400001	500000	0.0007323480988734	94728	79762	108912688	213968
Cairns	Rockhampton	dirofilaria_immitis_chrX	400001	500000	0.0006439489907946	94728	488	757824	0
Cairns	Lockhart_River	dirofilaria_immitis_chrX	400001	500000	0.0002955831433155	94728	224	757824	0
Lockhart_River	Townsville	dirofilaria_immitis_chrX	400001	500000	0.0005243088096782	94728	3576	6820408	8
Rockhampton	Sydney	dirofilaria_immitis_chrX	400001	500000	0.0008560975964481	94728	5180	6050712	11880
Rockhampton	Townsville	dirofilaria_immitis_chrX	400001	500000	0.0006310472921854	94728	4304	6820408	8
Brisbane	Lockhart_River	dirofilaria_immitis_chrX	500001	600000	0.0009134437641457	92662	2026	2217980	51340
Brisbane	Rockhampton	dirofilaria_immitis_chrX	500001	600000	0.0008604871875988	92247	1904	2212700	56620
Brisbane	Townsville	dirofilaria_immitis_chrX	500001	600000	0.0007832339637179	93154	31268	39921660	926100
Brisbane	Sydney	dirofilaria_immitis_chrX	500001	600000	0.0009593851777114	93047	33870	35303860	1005260
Rockhampton	Sydney	dirofilaria_immitis_chrX	500001	600000	0.0007342719026565	92368	4312	5872484	179036
Cairns	Sydney	dirofilaria_immitis_chrX	500001	600000	0.0006110056500171	92702	7188	11764212	338828
Cairns	Townsville	dirofilaria_immitis_chrX	500001	600000	0.0006083780544833	92702	8092	13300940	314980
Lockhart_River	Rockhampton	dirofilaria_immitis_chrX	500001	600000	0.0005312920154399	92228	196	368912	9308
