pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
ASIA	CENAM	dirofilaria_immitis_chrX	1	100000	0.0005294296050073	91329	18860	35623244	1606564
AUS	CENAM	dirofilaria_immitis_chrX	1	100000	0.0004891350641467	91354	107336	219440412	14575524
CENAM	USA	dirofilaria_immitis_chrX	1	100000	0.0003825634377243	91364	66350	173435288	7395208
ASIA	USA	dirofilaria_immitis_chrX	1	100000	0.0004453667498064	91334	38520	86490516	3924732
AUS	USA	dirofilaria_immitis_chrX	1	100000	0.0004349305547729	91359	231722	532779308	35545108
AUS	ASIA	dirofilaria_immitis_chrX	1	100000	0.000252070929767	91334	27594	109469188	7538780
AUS	EUR	dirofilaria_immitis_chrX	1	100000	0.0004904804998708	91359	107148	218455168	15560768
EUR	CENAM	dirofilaria_immitis_chrX	1	100000	0.0001544364095003	91356	10980	71097224	3362392
EUR	USA	dirofilaria_immitis_chrX	1	100000	0.0003608016370275	91363	62282	172621168	8209328
EUR	ASIA	dirofilaria_immitis_chrX	1	100000	0.0005341133154957	91334	18940	35460640	1769168
EUR	ASIA	dirofilaria_immitis_chrX	100001	200000	0.0005266312615047	93702	18904	35896084	2293340
ASIA	CENAM	dirofilaria_immitis_chrX	100001	200000	0.0005502862608647	93687	19848	36068500	2120924
CENAM	USA	dirofilaria_immitis_chrX	100001	200000	0.0004243869932132	94295	74554	175674564	9816924
EUR	CENAM	dirofilaria_immitis_chrX	100001	200000	8.884766549773245e-05	94024	6398	72010896	4367952
EUR	USA	dirofilaria_immitis_chrX	100001	200000	0.0004212459841517	94818	73628	174786236	10705252
AUS	USA	dirofilaria_immitis_chrX	100001	200000	0.0005539044652885	95263	304494	549722956	33250292
AUS	ASIA	dirofilaria_immitis_chrX	100001	200000	0.0003974144071708	94047	44890	112955140	7068764
AUS	EUR	dirofilaria_immitis_chrX	100001	200000	0.0004281395623528	94523	96504	225403136	14644672
ASIA	USA	dirofilaria_immitis_chrX	100001	200000	0.0005475678031684	94168	47950	87569064	5176680
AUS	CENAM	dirofilaria_immitis_chrX	100001	200000	0.0004416457026544	94182	100024	226480184	13567624
AUS	USA	dirofilaria_immitis_chrX	200001	300000	0.0008696530942754	96409	500906	575983692	927764
AUS	CENAM	dirofilaria_immitis_chrX	200001	300000	0.0008528651601687	96409	202450	237376328	175448
EUR	ASIA	dirofilaria_immitis_chrX	200001	300000	0.0007746765007824	96409	29194	37685408	106920
EUR	CENAM	dirofilaria_immitis_chrX	200001	300000	0.0006283124536	96409	47374	75398792	185864
AUS	ASIA	dirofilaria_immitis_chrX	200001	300000	0.0007602384389865	96409	90198	118644356	131532
AUS	EUR	dirofilaria_immitis_chrX	200001	300000	0.0007836895808501	96409	185574	236795288	756488
CENAM	USA	dirofilaria_immitis_chrX	200001	300000	0.0007207797926567	96409	132192	183401368	161368
ASIA	USA	dirofilaria_immitis_chrX	200001	300000	0.0008139936744653	96409	74616	91666560	114808
ASIA	CENAM	dirofilaria_immitis_chrX	200001	300000	0.0009486483653431	96409	35838	37777960	14368
EUR	USA	dirofilaria_immitis_chrX	200001	300000	0.0006745260471474	96409	123406	182952164	610572
EUR	USA	dirofilaria_immitis_chrX	300001	400000	0.0008311444169615	96102	151390	182146444	831764
AUS	CENAM	dirofilaria_immitis_chrX	300001	400000	0.0008852009102381	96102	209346	236495464	299864
EUR	CENAM	dirofilaria_immitis_chrX	300001	400000	0.0007782512527914	96102	58450	75104280	239688
EUR	ASIA	dirofilaria_immitis_chrX	300001	400000	0.0009779298030795	96102	36700	37528256	143728
AUS	USA	dirofilaria_immitis_chrX	300001	400000	0.0009710771894956	96102	556972	573560996	1513372
AUS	EUR	dirofilaria_immitis_chrX	300001	400000	0.0009390030615201	96102	221372	235752160	1043168
AUS	ASIA	dirofilaria_immitis_chrX	300001	400000	0.0006685741836401	96102	79008	118173872	223792
ASIA	CENAM	dirofilaria_immitis_chrX	300001	400000	0.0009566346520515	96102	36014	37646556	25428
ASIA	USA	dirofilaria_immitis_chrX	300001	400000	0.0009747417081238	96102	88996	91302136	186968
CENAM	USA	dirofilaria_immitis_chrX	300001	400000	0.0008844655020801	96102	161610	182720524	257684
AUS	USA	dirofilaria_immitis_chrX	400001	500000	0.0008478284468009	94728	480020	566175860	676492
ASIA	USA	dirofilaria_immitis_chrX	400001	500000	0.000832130269916	94728	74980	90106084	74972
EUR	USA	dirofilaria_immitis_chrX	400001	500000	0.0009025851372593	94728	162244	179754788	607324
EUR	ASIA	dirofilaria_immitis_chrX	400001	500000	0.0009205893976761	94728	34074	37013244	120132
CENAM	USA	dirofilaria_immitis_chrX	400001	500000	0.0008283951431408	94728	149338	180273872	88240
ASIA	CENAM	dirofilaria_immitis_chrX	400001	500000	0.0009221977789882	94728	34232	37120020	13356
AUS	CENAM	dirofilaria_immitis_chrX	400001	500000	0.0007021823018881	94728	163778	233241424	168368
EUR	CENAM	dirofilaria_immitis_chrX	400001	500000	0.000694325083501	94728	51416	74051768	214984
AUS	ASIA	dirofilaria_immitis_chrX	400001	500000	0.0007718084744292	94728	89978	116580736	124160
AUS	EUR	dirofilaria_immitis_chrX	400001	500000	0.0008517083278604	94728	198082	232570228	839564
AUS	USA	dirofilaria_immitis_chrX	500001	600000	0.0010893579008197	93832	600426	551174228	14642892
AUS	CENAM	dirofilaria_immitis_chrX	500001	600000	0.0010795057796806	93785	245442	227365156	5618364
AUS	EUR	dirofilaria_immitis_chrX	500001	600000	0.0009464874121691	93485	214114	226219596	6763924
AUS	ASIA	dirofilaria_immitis_chrX	500001	600000	0.0010517331478174	93533	119444	113568732	2923028
EUR	CENAM	dirofilaria_immitis_chrX	500001	600000	0.0008063672436322	93682	58178	72148268	1982852
EUR	ASIA	dirofilaria_immitis_chrX	500001	600000	0.001106075234203	93452	39864	36040948	1024612
CENAM	USA	dirofilaria_immitis_chrX	500001	600000	0.00117116163971	94084	205940	175842508	4190212
ASIA	USA	dirofilaria_immitis_chrX	500001	600000	0.001078648976954	93533	94722	87815408	2200952
EUR	USA	dirofilaria_immitis_chrX	500001	600000	0.0010302419952787	93833	180216	174925892	5106828
ASIA	CENAM	dirofilaria_immitis_chrX	500001	600000	0.0011365562725945	93523	41166	36219940	845620
AUS	CENAM	dirofilaria_immitis_chrX	600001	700000	0.0008952321901644	93692	206112	230233008	3546384
AUS	USA	dirofilaria_immitis_chrX	600001	700000	0.0013238509160311	93693	738038	557493288	10256664
AUS	ASIA	dirofilaria_immitis_chrX	600001	700000	0.0013671104081665	93691	157108	114919760	1969936
AUS	EUR	dirofilaria_immitis_chrX	600001	700000	0.0009016289839933	93701	206612	229154124	4625268
CENAM	USA	dirofilaria_immitis_chrX	600001	700000	0.0013677450502439	93693	243186	177800680	2847032
ASIA	USA	dirofilaria_immitis_chrX	600001	700000	0.0013476024736986	93691	119598	88748724	1575132
EUR	USA	dirofilaria_immitis_chrX	600001	700000	0.0012612389272037	93692	223200	176968848	3678864
ASIA	CENAM	dirofilaria_immitis_chrX	600001	700000	0.0014017061667649	93691	51374	36651048	541128
EUR	ASIA	dirofilaria_immitis_chrX	600001	700000	0.0011715685333874	93691	42738	36479300	712876
EUR	CENAM	dirofilaria_immitis_chrX	600001	700000	0.0006482652985438	93691	47378	73084276	1300076
ASIA	CENAM	dirofilaria_immitis_chrX	700001	800000	0.0010834144325029	92948	39356	36325896	109720
AUS	EUR	dirofilaria_immitis_chrX	700001	800000	0.0008763108109875	92948	198626	226661588	2362284
AUS	CENAM	dirofilaria_immitis_chrX	700001	800000	0.0007748686917101	92948	176928	228332880	690992
AUS	ASIA	dirofilaria_immitis_chrX	700001	800000	0.0010507010135945	92948	119640	113866836	645100
EUR	CENAM	dirofilaria_immitis_chrX	700001	800000	0.00075460415573	92948	54566	72310760	560472
EUR	ASIA	dirofilaria_immitis_chrX	700001	800000	0.0008814010838593	92948	31784	36060768	374848
CENAM	USA	dirofilaria_immitis_chrX	700001	800000	0.0009901199627913	92948	174608	176350348	622644
ASIA	USA	dirofilaria_immitis_chrX	700001	800000	0.0009240668237313	92948	81264	87941692	544804
EUR	USA	dirofilaria_immitis_chrX	700001	800000	0.0008690564294192	92948	152136	175058828	1914164
AUS	USA	dirofilaria_immitis_chrX	700001	800000	0.0010489467071943	92948	579828	552771648	3429184
AUS	ASIA	dirofilaria_immitis_chrX	800001	900000	0.0010444462032962	94486	120612	115479380	1050572
CENAM	USA	dirofilaria_immitis_chrX	800001	900000	0.0009759621771639	94477	174696	178998740	1093004
EUR	USA	dirofilaria_immitis_chrX	800001	900000	0.0009218078047593	94489	163960	177867880	2223864
AUS	USA	dirofilaria_immitis_chrX	800001	900000	0.0011189223282487	94490	627408	560725248	5277376
ASIA	USA	dirofilaria_immitis_chrX	800001	900000	0.0009743572876108	94486	86974	89262944	782928
ASIA	CENAM	dirofilaria_immitis_chrX	800001	900000	0.0007892553214111	94474	29098	36867664	210048
AUS	CENAM	dirofilaria_immitis_chrX	800001	900000	0.0010721587904333	94477	248274	231564580	1495324
AUS	EUR	dirofilaria_immitis_chrX	800001	900000	0.001035501040238	94490	238274	230105032	2954872
EUR	CENAM	dirofilaria_immitis_chrX	800001	900000	0.0006241906308188	94477	45854	73461532	693892
EUR	ASIA	dirofilaria_immitis_chrX	800001	900000	0.0008151210468403	94486	29860	36632596	445116
AUS	USA	dirofilaria_immitis_chrX	900001	1000000	0.0012014028004543	93438	666704	554937944	4195048
CENAM	USA	dirofilaria_immitis_chrX	900001	1000000	0.0012727997289189	93438	225298	177009780	896172
EUR	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.0010856478532121	93438	78868	72646024	609368
ASIA	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.0012315145336809	93434	44920	36475412	152284
ASIA	USA	dirofilaria_immitis_chrX	900001	1000000	0.0011232838768885	93434	99178	88292908	660068
EUR	ASIA	dirofilaria_immitis_chrX	900001	1000000	0.0011827817879642	93434	42860	36236608	391088
EUR	USA	dirofilaria_immitis_chrX	900001	1000000	0.0011958272786676	93438	210310	175869880	2036072
AUS	EUR	dirofilaria_immitis_chrX	900001	1000000	0.0012425070933669	93438	282996	227762080	2469152
AUS	ASIA	dirofilaria_immitis_chrX	900001	1000000	0.0010721736959167	93434	122600	114347144	768472
AUS	CENAM	dirofilaria_immitis_chrX	900001	1000000	0.0012641652915421	93438	289794	229237428	993804
ASIA	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.0012932104130249	93712	47318	36589560	145936
AUS	EUR	dirofilaria_immitis_chrX	1000001	1100000	0.0010477164746623	93713	239260	228363308	2545524
CENAM	USA	dirofilaria_immitis_chrX	1000001	1100000	0.0012693656402235	93713	225390	177561132	868420
ASIA	USA	dirofilaria_immitis_chrX	1000001	1100000	0.0010618833159652	93712	93968	88491832	722944
EUR	USA	dirofilaria_immitis_chrX	1000001	1100000	0.0010792103457355	93713	190268	176302980	2126572
EUR	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.0010582964001406	93713	77148	72898292	572700
AUS	ASIA	dirofilaria_immitis_chrX	1000001	1100000	0.001084389013758	93712	124296	114623072	831344
EUR	ASIA	dirofilaria_immitis_chrX	1000001	1100000	0.0010150988802094	93712	36880	36331436	404060
AUS	USA	dirofilaria_immitis_chrX	1000001	1100000	0.0011932144086897	93713	663690	556220236	4558356
AUS	CENAM	dirofilaria_immitis_chrX	1000001	1100000	0.0012122401848338	93713	278802	229989076	919756
AUS	EUR	dirofilaria_immitis_chrX	1100001	1200000	0.0009289830757053	92230	209054	225035316	2685100
AUS	CENAM	dirofilaria_immitis_chrX	1100001	1200000	0.0008898398595767	92246	201398	226330612	1389804
AUS	ASIA	dirofilaria_immitis_chrX	1100001	1200000	0.0007888955795315	92248	88962	112767776	1092432
EUR	ASIA	dirofilaria_immitis_chrX	1100001	1200000	0.0009283423454685	92227	33216	35779904	448344
AUS	USA	dirofilaria_immitis_chrX	1100001	1200000	0.0010035959995434	92255	550300	548328212	4707084
EUR	USA	dirofilaria_immitis_chrX	1100001	1200000	0.0008941974792296	92230	155578	173986176	1979600
