pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
ASIA	CENAM	dirofilaria_immitis_chrX	1	100000	0.6835210256678448	132
AUS	CENAM	dirofilaria_immitis_chrX	1	100000	0.4557207625463552	132
CENAM	USA	dirofilaria_immitis_chrX	1	100000	0.2367672609176262	132
ASIA	USA	dirofilaria_immitis_chrX	1	100000	0.377637682470908	132
AUS	USA	dirofilaria_immitis_chrX	1	100000	0.2348923645956906	132
AUS	ASIA	dirofilaria_immitis_chrX	1	100000	0.1007227270435515	132
AUS	EUR	dirofilaria_immitis_chrX	1	100000	0.5607923099971676	132
EUR	CENAM	dirofilaria_immitis_chrX	1	100000	0.216363338492409	132
EUR	USA	dirofilaria_immitis_chrX	1	100000	0.3575641782010005	132
EUR	ASIA	dirofilaria_immitis_chrX	1	100000	0.8676342267687485	132
EUR	ASIA	dirofilaria_immitis_chrX	100001	200000	0.8326226694795479	145
ASIA	CENAM	dirofilaria_immitis_chrX	100001	200000	0.8275820173517429	145
CENAM	USA	dirofilaria_immitis_chrX	100001	200000	0.3444620234142012	145
EUR	CENAM	dirofilaria_immitis_chrX	100001	200000	0.3864307081509677	145
EUR	USA	dirofilaria_immitis_chrX	100001	200000	0.3553249339609874	145
AUS	USA	dirofilaria_immitis_chrX	100001	200000	0.2275364139171405	145
AUS	ASIA	dirofilaria_immitis_chrX	100001	200000	0.203062272357897	145
AUS	EUR	dirofilaria_immitis_chrX	100001	200000	0.3644621094126646	145
ASIA	USA	dirofilaria_immitis_chrX	100001	200000	0.3886928100743685	145
AUS	CENAM	dirofilaria_immitis_chrX	100001	200000	0.3653946786868012	145
AUS	USA	dirofilaria_immitis_chrX	200001	300000	0.1602003251246016	268
AUS	CENAM	dirofilaria_immitis_chrX	200001	300000	0.3324157024914804	268
EUR	ASIA	dirofilaria_immitis_chrX	200001	300000	0.8131634105146421	268
EUR	CENAM	dirofilaria_immitis_chrX	200001	300000	0.6934677567658803	268
AUS	ASIA	dirofilaria_immitis_chrX	200001	300000	0.2686071949119931	268
AUS	EUR	dirofilaria_immitis_chrX	200001	300000	0.3512894853803885	268
CENAM	USA	dirofilaria_immitis_chrX	200001	300000	0.2958940357404992	268
ASIA	USA	dirofilaria_immitis_chrX	200001	300000	0.3743269605042699	268
ASIA	CENAM	dirofilaria_immitis_chrX	200001	300000	0.7454450189989591	268
EUR	USA	dirofilaria_immitis_chrX	200001	300000	0.3393058506180646	268
EUR	USA	dirofilaria_immitis_chrX	300001	400000	0.2629172672573912	338
AUS	CENAM	dirofilaria_immitis_chrX	300001	400000	0.348401577662977	338
EUR	CENAM	dirofilaria_immitis_chrX	300001	400000	0.5974620084506461	338
EUR	ASIA	dirofilaria_immitis_chrX	300001	400000	0.6465783996546347	338
AUS	USA	dirofilaria_immitis_chrX	300001	400000	0.1788067690956297	338
AUS	EUR	dirofilaria_immitis_chrX	300001	400000	0.3947125950228303	338
AUS	ASIA	dirofilaria_immitis_chrX	300001	400000	0.1006438943890545	338
ASIA	CENAM	dirofilaria_immitis_chrX	300001	400000	0.6236623508989532	338
ASIA	USA	dirofilaria_immitis_chrX	300001	400000	0.2939955278661907	338
CENAM	USA	dirofilaria_immitis_chrX	300001	400000	0.2884978967693327	338
AUS	USA	dirofilaria_immitis_chrX	400001	500000	0.1155334752111235	281
ASIA	USA	dirofilaria_immitis_chrX	400001	500000	0.2135120777995371	281
EUR	USA	dirofilaria_immitis_chrX	400001	500000	0.2668332329504888	281
EUR	ASIA	dirofilaria_immitis_chrX	400001	500000	0.5489231379757057	281
CENAM	USA	dirofilaria_immitis_chrX	400001	500000	0.3150978750033323	281
ASIA	CENAM	dirofilaria_immitis_chrX	400001	500000	0.7241294885794155	281
AUS	CENAM	dirofilaria_immitis_chrX	400001	500000	0.3288326608581056	281
EUR	CENAM	dirofilaria_immitis_chrX	400001	500000	0.5513204443487469	281
AUS	ASIA	dirofilaria_immitis_chrX	400001	500000	0.2793682747838033	281
AUS	EUR	dirofilaria_immitis_chrX	400001	500000	0.3358348802478691	281
AUS	USA	dirofilaria_immitis_chrX	500001	600000	0.1805372596602646	376
AUS	CENAM	dirofilaria_immitis_chrX	500001	600000	0.4522228844222219	376
AUS	EUR	dirofilaria_immitis_chrX	500001	600000	0.4299963950627815	376
AUS	ASIA	dirofilaria_immitis_chrX	500001	600000	0.4285389063494413	376
EUR	CENAM	dirofilaria_immitis_chrX	500001	600000	0.6579600412196676	376
EUR	ASIA	dirofilaria_immitis_chrX	500001	600000	0.7717740275617678	376
CENAM	USA	dirofilaria_immitis_chrX	500001	600000	0.3535192171494547	376
ASIA	USA	dirofilaria_immitis_chrX	500001	600000	0.2891324989653605	376
EUR	USA	dirofilaria_immitis_chrX	500001	600000	0.3235197342228701	376
ASIA	CENAM	dirofilaria_immitis_chrX	500001	600000	0.7173082170984135	376
AUS	CENAM	dirofilaria_immitis_chrX	600001	700000	0.3086548803649191	445
AUS	USA	dirofilaria_immitis_chrX	600001	700000	0.1585387204744509	445
AUS	ASIA	dirofilaria_immitis_chrX	600001	700000	0.474011728726326	445
AUS	EUR	dirofilaria_immitis_chrX	600001	700000	0.2461408385907266	445
CENAM	USA	dirofilaria_immitis_chrX	600001	700000	0.3893281981470147	445
ASIA	USA	dirofilaria_immitis_chrX	600001	700000	0.3300272668955664	445
EUR	USA	dirofilaria_immitis_chrX	600001	700000	0.3004518841718926	445
ASIA	CENAM	dirofilaria_immitis_chrX	600001	700000	0.8706891834065945	445
EUR	ASIA	dirofilaria_immitis_chrX	600001	700000	0.7478675517247443	445
EUR	CENAM	dirofilaria_immitis_chrX	600001	700000	0.6126538961792342	445
ASIA	CENAM	dirofilaria_immitis_chrX	700001	800000	0.8207903230967575	387
AUS	EUR	dirofilaria_immitis_chrX	700001	800000	0.3662736363980891	387
AUS	CENAM	dirofilaria_immitis_chrX	700001	800000	0.2844782355489537	387
AUS	ASIA	dirofilaria_immitis_chrX	700001	800000	0.4037597096992713	387
EUR	CENAM	dirofilaria_immitis_chrX	700001	800000	0.77261325606087	387
EUR	ASIA	dirofilaria_immitis_chrX	700001	800000	0.7760229341832579	387
CENAM	USA	dirofilaria_immitis_chrX	700001	800000	0.3587886750370643	387
ASIA	USA	dirofilaria_immitis_chrX	700001	800000	0.2666676723122008	387
EUR	USA	dirofilaria_immitis_chrX	700001	800000	0.2978173846716442	387
